"id","adres","locatie","postcode","zaaknaam","einddatum","begindatum","zaaknummer","zaak_categorie","status_vergunning","zaak_specificatie","o_tijden_terras_vr_za_tot","o_tijden_terras_vr_za_van","o_tijden_terras_zo_do_tot","o_tijden_terras_zo_do_van","openingstijden_vr_za_tot","openingstijden_vr_za_van","openingstijden_zo_do_tot","openingstijden_zo_do_van","status_tijdelijk_terras","tijdelijk_terras_details","publ_besluit_tijdelijk_terras","toestemming_tijdelijk_terras","terrasgeometrie"
"539","Plantage Kerklaan 41","SRID=4326;POINT(4.91204317304262 52.366971642519)","1018CV","Borrl Kitchen","2022-11-01","2019-11-01","13493","Restaurant","Verleend","Restaurant","2:00","7:00","1:00","7:00","3:00","7:00","1:00","7:00","Verleend","https://terrasvergunningen.amsterdam.nl/ver_13983_Plantage Kerklaan 41-2057347_Plantage Kerklaan 41 - Borrl Kitchen ANNEX VERZONDEN.pdf","17-07-2020","09-06-2020","SRID=4326;MULTIPOLYGON(((4.91209872251749 52.3669877720307,4.91207603995015 52.3669625862101,4.91209532626813 52.3669560777029,4.9121180088431 52.3669812635199,4.91209872251749 52.3669877720307)),((4.91205192526214 52.366935808237,4.9120712260614 52.3669293177673,4.91208889889159 52.3669490103014,4.91206959808635 52.3669555007741,4.91205192526214 52.366935808237)))"
"540","Weesperzijde 44-H","SRID=4326;POINT(4.90749562183293 52.3557278422959)","1091EE","Kees","2025-03-01","2020-03-01","8305","Café","Verleend","Café","23:00","07:00","23:00","07:00","03:00","07:00","01:00","07:00","Verleend","https://terrasvergunningen.amsterdam.nl/ver_8500_Weesperzijde 44-H-1953882_ver_8500_Weesperzijde 44-H-1953882.DOCX.pdf","19-06-2020","","SRID=4326;MULTIPOLYGON(((4.90743807221228 52.3556845477843,4.90741351434751 52.3557249818857,4.90738599884707 52.3557187166267,4.90741055673338 52.3556782825311,4.90743807221228 52.3556845477843)),((4.90748417432238 52.3556950451809,4.90747036054923 52.3557177893689,4.90745522702104 52.3557143434845,4.90746904080087 52.3556915992984,4.90748417432238 52.3556950451809)))"
"541","Houthavenweg 237","","1014ZA","Anne & Max Amsterdam Houthavens","2023-03-16","2020-03-16","15756","Restaurant","Verleend","Restaurant","01:00","07:00","23:00","07:00","01:00","07:00","23:00","07:00","Verleend","https://terrasvergunningen.amsterdam.nl/ver_14900_%houthaven-2101080_1.DOCX.pdf","27-07-2020","26-07-2020",""
"542","Oudezijds Voorburgwal 141-H","SRID=4326;POINT(4.89702099129986 52.3724917564993)","1012ES","Daisys Old Town","2025-04-01","2020-04-01","14066","Café","Verleend","Café","","","","","03:00","07:00","01:00","07:00","Verleend","https://terrasvergunningen.amsterdam.nl/ver_14585_Oudezijds Voorburgwal 141-H-2036859_1.DOCX.pdf","06-07-2020","06-07-2020",""
"543","Zeedijk 87-H","SRID=4326;POINT(4.90056957698078 52.3742859108403)","1012AT","Pizza Grill Isabella","2024-06-01","2019-06-01","13447","Restaurant","Verleend","Restaurant","2:00","7:00","1:00","7:00","3:00","7:00","1:00","7:00","Deels verleend","https://terrasvergunningen.amsterdam.nl/ver__Zeedijk 87-H-1976353_1.DOCX.pdf","23-07-2020","23-07-2020","SRID=4326;MULTIPOLYGON(((4.90050561571992 52.3742787188922,4.90052198916912 52.3743011145713,4.90051528729811 52.3743029499395,4.90049891385163 52.3742805542596,4.90050561571992 52.3742787188922)))"
"544","Kloveniersburgwal 127-H","SRID=4326;POINT(4.89661285746895 52.368229963197)","1011KD","De Staalmeesters","2024-06-01","2019-06-01","2277","Café","Verleend","Café","2:00","7:00","1:00","7:00","3:00","7:00","1:00","7:00","Verleend","https://terrasvergunningen.amsterdam.nl/ver_2374_Kloveniersburgwal 127-H-2040241_1.DOCX.pdf","31-07-2020","31-07-2020","SRID=4326;MULTIPOLYGON(((4.89638540605288 52.3682768728346,4.89638585680261 52.3682756600931,4.89638648339486 52.3682734337703,4.89638687537186 52.3682711795134,4.89638707648194 52.3682689244663,4.89638704267893 52.3682666684466,4.89638678864492 52.3682644115152,4.89638632896273 52.3682621627198,4.89638566343375 52.368259940035,4.89638477727668 52.368257752387,4.89638368527289 52.3682555908495,4.89638238722381 52.3682534733967,4.89638089771221 52.3682514090766,4.89637920205607 52.3682493978285,4.89636662007882 52.3682354748247,4.89639180168588 52.3682269483328,4.89642484869897 52.3682635175557,4.89638540605288 52.3682768728346)),((4.89652594364132 52.3682395545782,4.89655183328899 52.3682310724466,4.89657123311779 52.368253258986,4.89654534346087 52.3682617411217,4.89652594364132 52.3682395545782)),((4.8966588069616 52.3682589763744,4.89666044727123 52.3682666400121,4.89658328992345 52.3682728278186,4.89658164962689 52.3682651641799,4.89665880294813 52.3682589576807,4.8966588069616 52.3682589763744)))"
"545","Vondelpark 5A","SRID=4326;POINT(4.87064347988274 52.3583547120922)","1071AA","'t Blauwe Theehuis","2021-12-01","2018-08-02","14923","Café","Verleend","Café","0:00","7:00","0:00","7:00","3:00","7:00","1:00","7:00","Verleend","https://terrasvergunningen.amsterdam.nl/ver_15428_Vondelpark 5A-1980361_1.DOCX.pdf","01-07-2020","01-07-2020","SRID=4326;MULTIPOLYGON(((4.87250456539656 52.3590601559752,4.87245028283723 52.3590484880327,4.87244733995783 52.3590528881669,4.87239189331699 52.3590365326007,4.87239686189924 52.3590321412655,4.87237803200823 52.3590255066078,4.87234582797845 52.3590108731067,4.87232387594786 52.3589980004785,4.87230595937244 52.3589860989036,4.87229423502893 52.3589770848091,4.87228252615935 52.3589667358409,4.87227113961326 52.3589554347433,4.87225672878998 52.3589364922798,4.8722454461302 52.3589162284641,4.87223691406036 52.3589003628273,4.87223119666797 52.3588833651837,4.87222673761158 52.3588652287724,4.8722259916688 52.358849015549,4.87222645322452 52.3588360495679,4.87222946459225 52.3588179456108,4.87223495504528 52.358800805952,4.87224293784134 52.3587834864146,4.87225277276337 52.3587675098625,4.87226572034766 52.3587515468311,4.87227999306256 52.3587322385614,4.8722722440869 52.3587295445687,4.87229348649678 52.358706655538,4.8723029276011 52.358709006363,4.87233799236887 52.3586866177573,4.87265161806739 52.3587085072583,4.8726605990509 52.358709780664,4.87267768559441 52.3587127154166,4.87269910558504 52.3587177667382,4.8727183378813 52.3587235713835,4.87274126343397 52.3587330154626,4.87276323753322 52.3587439810533,4.8727857922307 52.3587585725676,4.87279842613351 52.3587696883234,4.8728095014992 52.3587809880203,4.87282023028216 52.3587953375029,4.8728278684738 52.3588077665167,4.87283272513042 52.358818467109,4.8728360342819 52.3588283981633,4.87283774294707 52.358842136386,4.87283752661218 52.3588608246031,4.87283167655039 52.3588821582533,4.87282341581108 52.3588966160381,4.87280894295072 52.3589099026308,4.87279952101752 52.3589171085596,4.8727850922979 52.3589265812277,4.87274778423018 52.3589494947022,4.87272711466511 52.3589602752174,4.87270301672051 52.35897142226,4.87266922306546 52.3589865320313,4.87250456539656 52.3590601559752)))"
"546","Museumstraat 1","SRID=4326;POINT(4.88539163046566 52.3599369144068)","1071XX","Vermaat Leisure BV","2021-05-01","2016-02-03","11231","Culturele Horeca","Verleend","Horeca VI","0:00","7:00","0:00","7:00","3:00","7:00","1:00","7:00","Verleend","https://terrasvergunningen.amsterdam.nl/ver_11694_Museumstraat 1-1962829_1.DOCX.pdf","22-06-2020","22-06-2020",""
"547","Nieuwendijk 51","SRID=4326;POINT(4.89627404568923 52.3776295461519)","1012MB","Petit Restaurant Istanbul","2021-04-01","2019-04-01","15374","Restaurant","Verleend","Restaurant","2:00","7:00","1:00","7:00","4:00","7:00","3:00","7:00","Geweigerd","","01-07-2020","01-07-2020","SRID=4326;MULTIPOLYGON(((4.89631701152178 52.3775826045067,4.89636631135306 52.3776021511938,4.89639659948611 52.3776295343871,4.89634659849469 52.3776158259589,4.89630097950833 52.3775976620003,4.89631701152178 52.3775826045067)))"
"548","Gosschalklaan 12","SRID=4326;POINT(4.86806241149599 52.3864340241566)","1014DC","Mossel en Gin","2020-07-01","2017-07-01","11899","Restaurant","Verleend","Restaurant","1:00","7:00","1:00","7:00","3:00","7:00","1:00","7:00","Verleend","https://terrasvergunningen.amsterdam.nl/ver_12375_Gosschalklaan 12-2101063_1.DOCX.pdf","26-07-2020","26-07-2020",""
"549","Albert Cuypstraat 140A","SRID=4326;POINT(4.8938177905985 52.3554919432839)","1073BJ","Eethuisje Wan Pipel","2024-04-01","2019-02-27","4921","Eethuis","Verleend","Eethuis","","","","","3:00","7:00","1:00","7:00","Verleend","https://terrasvergunningen.amsterdam.nl/ver_5085_Albert Cuypstraat 140B-2042094_1.DOCX.pdf","08-07-2020","08-07-2020",""
"550","Nieuwendijk 29-H","SRID=4326;POINT(4.89551763958992 52.3783004778607)","1012LZ","Blarney Stone","2021-12-01","2016-12-01","2711","Café","Verleend","Café","","","","","3:00","7:00","1:00","7:00","Deels verleend","https://terrasvergunningen.amsterdam.nl/ver_2816_Nieuwendijk 29-H-1962452_2.DOCX.pdf","19-06-2020","19-06-2020",""
"551","Plantage Kerklaan 28-H","SRID=4326;POINT(4.91167164800657 52.3660174709841)","1018TC","Palorma","2025-01-01","2020-01-01","3055","Restaurant","Verleend","Restaurant","02:00","07:00","01:00","07:00","03:00","07:00","01:00","07:00","Geweigerd","","05-08-2020","05-08-2020","SRID=4326;MULTIPOLYGON(((4.91161618042836 52.3660332368473,4.91159065330679 52.3660421198059,4.91156453334117 52.3660139922746,4.91159006045178 52.3660051093216,4.91161618042836 52.3660332368473)))"
"552","Haparandadam 50","SRID=4326;POINT(4.88300448998462 52.397556952671)","1013AK","Pont 13","2023-06-01","2018-06-01","12813","Restaurant","Verleend","Restaurant","23:00","7:00","23:00","7:00","3:00","7:00","1:00","7:00","Verleend","https://terrasvergunningen.amsterdam.nl/ver_13260_Haparandadam 50-2103236_1.DOCX.pdf","29-07-2020","28-07-2020",""
"553","Kerkstraat 176-H","SRID=4326;POINT(4.889812696011 52.3631685837501)","1017GT","Food Fantasies","2021-01-01","2018-01-01","13379","Restaurant","Verleend","Restaurant","2:00","7:00","1:00","7:00","3:00","7:00","1:00","7:00","Verleend","https://terrasvergunningen.amsterdam.nl/ver_13846_Kerkstraat 176-H-2090939_1.DOCX.pdf","22-07-2020","","SRID=4326;MULTIPOLYGON(((4.88983615651596 52.3631839438063,4.88983616144709 52.363183956802,4.88983880957487 52.3631909478558,4.88982164959002 52.3631933881054,4.88981927191181 52.3631871110318,4.88981899995004 52.3631863930523,4.88981899933919 52.3631863914424,4.88981899653618 52.3631863840552,4.88983615651596 52.3631839438063,4.88983615651596 52.3631839438063)),((4.88979469187169 52.3631898550657,4.88979734302281 52.3631968541182,4.88978304176949 52.3631988843224,4.8897803906205 52.3631918852695,4.88979469187169 52.3631898550657)))"
"554","Kwakersstraat 8-H","SRID=4326;POINT(4.86885882357894 52.3685432686512)","1053WC","Happy 2","2020-09-01","2015-09-01","10786","Café","Verleend","Café","23:00","7:00","23:00","7:00","3:00","7:00","1:00","7:00","Verleend","https://terrasvergunningen.amsterdam.nl/ver_11234_Kwakersstraat 8-H-1969204_Toestemming tijdelijk terras - happy 2.pdf","24-06-2020","24-06-2020",""
"555","Oosterdokskade 133","SRID=4326;POINT(4.90771257326578 52.3758517317911)","1011DL","Mo-Jo Amsterdam","2023-09-01","2018-09-01","12998","Restaurant","Verleend","Restaurant","2:00","7:00","1:00","7:00","3:00","7:00","1:00","7:00","Verleend","https://terrasvergunningen.amsterdam.nl/ver_13453_Oosterdokskade 133-1965653_1.DOCX.pdf","28-07-2020","28-07-2020","SRID=4326;MULTIPOLYGON(((4.90757730979561 52.3758811854003,4.90760547966887 52.3758121768666,4.90761903572878 52.3758095196152,4.90760605627414 52.3758413158064,4.90759158086953 52.3758830762958,4.90757730979561 52.3758811854003)),((4.90751846488669 52.37587338852,4.90753805715685 52.375825392963,4.90758081290083 52.3758170120283,4.90755578116798 52.3758783328865,4.90751846488669 52.37587338852)))"
"556","Leliegracht 60-H","SRID=4326;POINT(4.88491186654479 52.3759192597026)","1015DJ","Spanjer en van Twist","2024-04-01","2019-04-01","13376","Café","Verleend","Café","2:00","7:00","1:00","7:00","3:00","7:00","1:00","7:00","Deels verleend","https://terrasvergunningen.amsterdam.nl/ver_13842_Leliegracht 60-H-1962464_1.DOCX.pdf","19-06-2020","19-06-2020","SRID=4326;MULTIPOLYGON(((4.88484572347643 52.3758202549153,4.88463403585363 52.3758924051451,4.88462188961985 52.3758790569984,4.88483357719864 52.37580690679,4.88484572347643 52.3758202549153)),((4.88487527097792 52.3758522331991,4.88478870298737 52.3758817385497,4.88476223664759 52.3758526533986,4.88484880459892 52.3758231480667,4.88487527097792 52.3758522331991)))"
"557","Maasstraat 102","SRID=4326;POINT(4.89527892742554 52.3441646378683)","1078HM","Restaurant Michiu B.V.","2024-11-01","2019-08-15","13613","Restaurant","Verleend","Restaurant","0:00","7:00","0:00","7:00","3:00","7:00","1:00","7:00","Verleend","https://terrasvergunningen.amsterdam.nl/ver_14118_Maasstraat 102-2094106_1.DOCX.pdf","22-07-2020","22-07-2020","SRID=4326;MULTIPOLYGON(((4.8952974091645 52.3441897631972,4.89530739932278 52.3441630573923,4.89531493725651 52.3441463607611,4.89534211454862 52.3441501742158,4.89533445489199 52.344167196266,4.89532458648159 52.3441935766559,4.8952974091645 52.3441897631972)))"
"558","Warmoesstraat 34G","SRID=4326;POINT(4.89865902100501 52.3757609996245)","1012JE","Mr Tom B.V.","2025-04-01","2020-04-01","10925","Restaurant","Verleend","Restaurant","","","","","03:00","07:00","01:00","07:00","Geweigerd","","29-06-2020","29-06-2020",""
"559","Roelof Hartstraat 1","SRID=4326;POINT(4.88369107856882 52.3527710498438)","1071VE","The College Hotel Exploitatie B.V.","2021-06-01","2018-03-16","14570","Restaurant","Verleend","Restaurant","1:00","7:00","0:00","7:00","3:00","7:00","1:00","7:00","Verleend","","24-06-2020","10-06-2020","SRID=4326;MULTIPOLYGON(((4.88433421930355 52.3527314831426,4.88431404288015 52.3527281184924,4.88409105852243 52.3526906914594,4.88391245444827 52.3526627905959,4.88370356516067 52.3526263124569,4.88370857975002 52.3526164024476,4.88382570907342 52.3525861062507,4.88384083108353 52.352582537943,4.88385596756067 52.3525789927112,4.88387141678422 52.3525759957144,4.88389691345434 52.3525718418682,4.88408067442465 52.3525422169666,4.88408855341059 52.3525658069436,4.88421257854361 52.3525502724828,4.88421225084253 52.3525493992937,4.88426733086582 52.3525420474849,4.88425602169775 52.3525102822123,4.88431387019853 52.3525034184731,4.88434536798534 52.3526720698374,4.88435028874214 52.3526984243076,4.88434882569029 52.3526985620116,4.88433421930355 52.3527314831426)))"
"560","Utrechtsestraat 140-H","SRID=4326;POINT(4.89926099670067 52.3610688071167)","1017VT","Oosterling","2021-12-01","2016-12-01","3748","Café","Verleend","Café","2:00","7:00","1:00","7:00","3:00","7:00","1:00","7:00","Verleend","https://terrasvergunningen.amsterdam.nl/ver_3861_Utrechtsestraat 140-H-1957429_1.DOCX.pdf","17-06-2020","17-06-2020","SRID=4326;MULTIPOLYGON(((4.89929057677204 52.3610449952055,4.89917193541042 52.3610213291015,4.8991787571216 52.3610085112581,4.89929739845269 52.3610321773553,4.89929057677204 52.3610449952055)))"
"561","De Wittenkade 190-H","SRID=4326;POINT(4.87349833186818 52.3812628943248)","1051AP","CAFÉ ROOSTER","2023-09-01","2018-09-01","12720","Café","Verleend","Café","23:00","7:00","23:00","7:00","3:00","7:00","1:00","7:00","Verleend","https://terrasvergunningen.amsterdam.nl/ver_13217_De Wittenkade 190-H-2101079_1.DOCX.pdf","27-07-2020","",""
"562","Bos en Lommerweg 242","SRID=4326;POINT(4.84831275125158 52.3786166193405)","1055EJ","Birtat Restaurant","2021-04-01","2018-04-01","14560","Eethuis","Verleend","Eethuis","1:00","7:00","1:00","7:00","3:00","7:00","1:00","7:00","Verleend","","25-06-2020","25-06-2020","SRID=4326;MULTIPOLYGON(((4.84840445233254 52.3786274796062,4.84840445233254 52.3786274796062,4.84840445233254 52.3786274796062,4.84841839398357 52.3786303041965,4.84840685512569 52.3786516340056,4.84839291346871 52.3786488094138,4.84840445233254 52.3786274796062)),((4.84840445233254 52.3786274796062,4.84827897755324 52.3786020582195,4.84828451622962 52.3785918199172,4.84840999098324 52.378617241298,4.84840445233254 52.3786274796062,4.84840445233254 52.3786274796062,4.84840445233254 52.3786274796062)))"
"563","Lutmastraat 49-1","SRID=4326;POINT(4.8943859346505 52.35058707455)","1072JP","Café Dopey¿S Elixer","2023-01-01","2019-07-09","4513","Café","Verleend","Café","1:00","7:00","0:00","7:00","3:00","7:00","1:00","7:00","Verleend","https://terrasvergunningen.amsterdam.nl/ver_4653_Lutmastraat 49-1-1961966_1.DOCX.pdf","24-06-2020","24-06-2020",""
"564","Leidsestraat 97","SRID=4326;POINT(4.88379203244375 52.3645901704045)","1017NZ","Mc Donalds B.V.","2025-02-01","2020-02-01","10577","Fastfood","Verleend","Snackbar","","","","","04:00","07:00","03:00","07:00","Verleend","https://terrasvergunningen.amsterdam.nl/ver_11022_Leidsestraat 97-2045712_2.DOCX.pdf","16-07-2020","16-07-2020",""
"565","Witte de Withplein 43","SRID=4326;POINT(4.85829705055762 52.3689460007756)","1057XN","Restaurant  Kien","2022-12-01","2019-12-01","15618","Restaurant","Verleend","Restaurant","01:00","07:00","01:00","07:00","03:00","07:00","01:00","07:00","Verleend","https://terrasvergunningen.amsterdam.nl/ver_14538_Witte de Withplein 43-2101072_1.DOCX.pdf","26-07-2020","26-07-2020",""
"566","Westerstraat 109-H","SRID=4326;POINT(4.88349012541792 52.3782679678219)","1015LX","Nol","2025-01-01","2020-01-01","10348","Café","Verleend","Café","2:00","9:00","1:00","9:00","4:00","9:00","3:00","9:00","Verleend","https://terrasvergunningen.amsterdam.nl/ver_10776_Westerstraat 109-H-1974478_1.DOCX.pdf","27-06-2020","27-06-2020","SRID=4326;MULTIPOLYGON(((4.88352730447946 52.3782930515565,4.8835186690042 52.3783102317936,4.88340497224934 52.3782888286065,4.88341360776433 52.3782716483776,4.88352730447946 52.3782930515565)))"
"567","Oudekerksplein 27","SRID=4326;POINT(4.89842689126874 52.3741692462293)","1012GX","De Koffieschenkerij","2022-04-01","2017-04-01","13955","Alcoholvrij","Verleend","Koffiehuis","22:00","7:00","22:00","7:00","22:00","7:00","22:00","7:00","Deels verleend","https://terrasvergunningen.amsterdam.nl/ver_14472_Oudekerksplein 27-1964368_2.DOCX.pdf","22-06-2020","22-06-2020","SRID=4326;MULTIPOLYGON(((4.89848324604494 52.3741523572515,4.89827809389335 52.3741450044324,4.89828152165866 52.3740950837182,4.89830398282912 52.3740956616688,4.89830459461381 52.3740867755008,4.89828213344783 52.3740861975502,4.89828309432148 52.3740722797915,4.8983855311958 52.3740752456509,4.89848727386373 52.37415330856,4.89848316382302 52.3741531568048,4.89848324604494 52.3741523572515)))"
"568","George Gershwinlaan 101","SRID=4326;POINT(4.87459515361526 52.3358622655292)","1082MT","Crowne Plaza Amsterdam South","2024-11-01","2019-11-01","10263","Restaurant","Verleend","Restaurant","2:00","7:00","1:00","7:00","3:00","7:00","1:00","7:00","Verleend","https://terrasvergunningen.amsterdam.nl/ver_10686_George Gershwinlaan 101-2060651_1.DOCX.pdf","20-07-2020","20-07-2020",""
"569","De Ruyterkade 36C","SRID=4326;POINT(4.90122449465727 52.379667679092)","1012AA","Exki","2021-07-01","2018-07-01","12887","Restaurant","Verleend","Restaurant","","","","","23:00","7:00","23:00","7:00","Geweigerd","","31-07-2020","31-07-2020",""
"570","Geldersekade 20","SRID=4326;POINT(4.90166994350498 52.3757194426099)","1012BH","Hotel Mai","2023-02-01","2020-02-01","15474","Restaurant","Verleend","Restaurant","","","","","3:00","7:00","1:00","7:00","Deels verleend","https://terrasvergunningen.amsterdam.nl/ver_16023_Geldersekade 20-2044537_2044537_1_1.DOCX.pdf","09-07-2020","09-07-2020",""
"571","Ferdinand Bolstraat 70-H","SRID=4326;POINT(4.88996013362571 52.3552421449052)","1072LM","Bagels & Beans Ferdinand Bol","2022-07-01","2019-04-04","4105","Alcoholvrij","Verleend","Lunchroom","0:00","7:00","0:00","7:00","3:00","7:00","1:00","7:00","Verleend","https://terrasvergunningen.amsterdam.nl/ver_4212_Ferdinand Bolstraat 70-H-1961393_1.DOCX.pdf","23-06-2020","23-06-2020","SRID=4326;MULTIPOLYGON(((4.89005204187145 52.355281914718,4.89006874565579 52.3552437157231,4.89017508571785 52.3552611492677,4.8901583820182 52.3552993482775,4.89005204187145 52.355281914718)),((4.88998823782358 52.3552714545365,4.89000494165872 52.3552332555505,4.89004038832004 52.3552390667617,4.89002368451313 52.3552772657526,4.88998823782358 52.3552714545365)),((4.88990974741739 52.3552654466793,4.88997033263742 52.3552777875849,4.88996801596939 52.3552820515241,4.88990743074419 52.3552697106175,4.88990974741739 52.3552654466793)))"
"572","Reinier Claeszenstraat 10","SRID=4326;POINT(4.86255241726012 52.3716611833822)","1056WJ","Faam","2020-08-01","2017-08-01","12102","Restaurant","Verleend","Restaurant","23:00","7:00","23:00","7:00","3:00","7:00","1:00","7:00","Verleend","https://terrasvergunningen.amsterdam.nl/ver_12584_Reinier Claeszenstraat 10-1981487_Definitieve toestemming Faam.pdf","01-07-2020","01-07-2020",""
"573","Amstel 54-H","SRID=4326;POINT(4.89567334165678 52.3668869235106)","1017AB","Amstel Fifty Four","2025-01-01","2020-01-01","13877","Café","Verleend","Café","02:00","09:00","01:00","09:00","04:00","09:00","03:00","09:00","Verleend","https://terrasvergunningen.amsterdam.nl/ver_14393_Amstel 54-H-1970616_1.DOCX.pdf","25-06-2020","","SRID=4326;MULTIPOLYGON(((4.89571028584825 52.366917122138,4.89570864559759 52.3669283113867,4.8956413788652 52.366924616435,4.89564301913265 52.3669134271872,4.89571028584825 52.366917122138)))"
"574","Sint Antoniesbreestraat 142","SRID=4326;POINT(4.90072296521273 52.3696669357669)","1011HB","Tis Fris","2021-02-01","2016-02-01","3566","Café","Verleend","Café","2:00","7:00","1:00","7:00","3:00","7:00","1:00","7:00","Deels verleend","https://terrasvergunningen.amsterdam.nl/ver_3679_Sint Antoniesbreestraat 142-1962400_1.DOCX.pdf","29-06-2020","19-06-2020","SRID=4326;MULTIPOLYGON(((4.90075585014546 52.3697258550133,4.900729111521 52.3697184237728,4.90074732243333 52.369693873796,4.90077277451144 52.369700947477,4.90075585014546 52.3697258550133)),((4.90078227135105 52.3696467593717,4.90078367453897 52.3696446620392,4.9007848874444 52.3696425100006,4.90078588050547 52.3696403211098,4.90078665362377 52.3696381043538,4.90078722148187 52.369635859793,4.90078755461634 52.369633596294,4.90078768229383 52.3696313229644,4.90078758963502 52.3696290577184,4.90078727673836 52.3696267915687,4.90078674340704 52.3696245424898,4.90078598954269 52.3696223194687,4.90078289118095 52.369615226944,4.90080150506673 52.3696039676108,4.90082765446786 52.3696201806074,4.90078252289948 52.3696866007912,4.90075781223922 52.3696797325639,4.90078227135105 52.3696467593717)),((4.90094160938928 52.3695226938724,4.90097430203886 52.3695525232347,4.90088894937386 52.3695875715999,4.90085633224583 52.3695578110928,4.90094160938928 52.3695226938724)))"
"575","Westerstraat 136-H","SRID=4326;POINT(4.88266590811656 52.3784262395218)","1015MP","Restaurant Melo","2021-01-01","2018-01-01","12473","Restaurant","Verleend","Restaurant","2:00","7:00","1:00","7:00","3:00","7:00","1:00","7:00","Deels verleend","https://terrasvergunningen.amsterdam.nl/ver_12932_Westerstraat 136-H-2042863_1.DOCX.pdf","08-07-2020","08-07-2020","SRID=4326;MULTIPOLYGON(((4.88266183936293 52.3783800353234,4.88269358249412 52.3783856511146,4.88268624131855 52.3784011919711,4.88265449817721 52.3783955761779,4.88266183936293 52.3783800353234)))"
"576","Nieuwezijds Voorburgwal 136A","SRID=4326;POINT(4.89154484523477 52.375030443199)","1012SH","Ponte Vecchio Dam","2023-05-01","2018-05-01","10827","Restaurant","Verleend","Restaurant","2:00","7:00","1:00","7:00","3:00","7:00","1:00","7:00","Geweigerd","","29-06-2020","29-06-2020","SRID=4326;MULTIPOLYGON(((4.89160988789161 52.3750341212337,4.89160884478014 52.375032858757,4.89160707790937 52.3750319616035,4.89159711943967 52.375020984603,4.8916240854238 52.3750118204177,4.89163620430014 52.3750251778008,4.89160988789161 52.3750341212337)),((4.8915837273242 52.3750080599206,4.89157818985067 52.375001939251,4.8915794285458 52.3750014770761,4.89157787760458 52.3749997679685,4.89160483781162 52.3749906057478,4.89161196655474 52.3749984630333,4.8915837273242 52.3750080599206)))"
"577","1e Van der Helststraat 37-H","SRID=4326;POINT(4.89331974275366 52.3553999930489)","1073AC","Café Flamingo BV","2021-07-01","2018-03-09","12580","Café","Verleend","Café","1:00","7:00","0:00","7:00","3:00","7:00","1:00","7:00","Verleend","https://terrasvergunningen.amsterdam.nl/ver__Eerste Van der Helststraat 37-H-2042764_1.DOCX.pdf","08-07-2020","08-07-2020","SRID=4326;MULTIPOLYGON(((4.89327492687052 52.3554239829447,4.8932171194036 52.3554126934526,4.89323448191487 52.3553736481078,4.89327881077692 52.3553810382694,4.89327688273393 52.3553853741246,4.89329104531406 52.3553877351953,4.89327492687052 52.3554239829447)))"
"578","Singel 415-H","SRID=4326;POINT(4.88914040276668 52.3681358921548)","1012WP","t Lieverdje","2025-05-01","2020-05-01","14577","Café","Verleend","Café","02:00","07:00","01:00","07:00","03:00","07:00","01:00","07:00","Verleend","https://terrasvergunningen.amsterdam.nl/ver_15099_Singel 415-H-1962573_1.DOCX.pdf","19-06-2020","30-06-2020","SRID=4326;MULTIPOLYGON(((4.88904297153462 52.3681091103225,4.88901467616982 52.3680947980556,4.88904504850693 52.3680716902798,4.88907334386685 52.3680860025395,4.88904297153462 52.3681091103225)),((4.8890647430977 52.3681253913479,4.88905907190735 52.3681225378923,4.88908237987417 52.3681051806454,4.88908805106382 52.3681080341,4.8890647430977 52.3681253913479)))"
"579","Slotermeerlaan 103D","SRID=4326;POINT(4.82014517602852 52.3792117613073)","1063JN","Coffeemania","2021-06-01","2018-06-01","12276","Additionele horeca","Verleend","Onbekend","2:00","7:00","1:00","7:00","3:00","7:00","1:00","7:00","Verleend","https://terrasvergunningen.amsterdam.nl/ver_13079_Slotermeerlaan 103D-1958583_ver_13079_Coffeemania_Slotermeerlaan103.pdf","17-06-2020","10-06-2020","SRID=4326;MULTIPOLYGON(((4.81997766145782 52.3786840625904,4.82001741945013 52.3786776395775,4.82005467720638 52.3787664294064,4.82001484909467 52.3787726884265,4.81997766145782 52.3786840625904)))"
"580","Purmerplein 8","SRID=4326;POINT(4.94335572025648 52.3909548784213)","1023BD","Restaurant Lazuur","2022-10-01","2019-10-01","15391","Restaurant","Verleend","Restaurant","2:00","7:00","1:00","7:00","3:00","7:00","1:00","7:00","Verleend","https://terrasvergunningen.amsterdam.nl/ver_15939_Purmerplein 8-1972529_3.DOCX.pdf","17-07-2020","30-06-2020","SRID=4326;MULTIPOLYGON(((4.94343665913784 52.3909335829595,4.94347122472864 52.3909023162329,4.94348339280257 52.3909073513056,4.9434488272164 52.3909386180357,4.94343665913784 52.3909335829595)),((4.9433874403833 52.3909780992101,4.94342200604343 52.3909468324982,4.94343417412397 52.3909518675759,4.94339960846847 52.3909831342913,4.9433874403833 52.3909780992101)))"
