"id","adres","locatie","postcode","zaaknaam","einddatum","begindatum","zaaknummer","zaak_categorie","status_vergunning","zaak_specificatie","o_tijden_terras_vr_za_tot","o_tijden_terras_vr_za_van","o_tijden_terras_zo_do_tot","o_tijden_terras_zo_do_van","openingstijden_vr_za_tot","openingstijden_vr_za_van","openingstijden_zo_do_tot","openingstijden_zo_do_van","status_tijdelijk_terras","tijdelijk_terras_details","publ_besluit_tijdelijk_terras","toestemming_tijdelijk_terras","terrasgeometrie"
"2480","Slotermeerlaan 133A","SRID=4326;POINT(4.8209350587305 52.3811224054286)","1063JN","Febo","2021-05-23","2015-11-16","1059","Fastfood","Verleend","Snackbar","2:00","7:00","0:00","7:00","3:00","7:00","1:00","7:00","","","","","SRID=4326;MULTIPOLYGON(((4.82096037452774 52.3810824596518,4.82098882510075 52.3810779899787,4.82103995403956 52.3811998601747,4.82101150339358 52.3812043298598,4.82096037452774 52.3810824596518)))"
"2481","Waterlooplein 22","SRID=4326;POINT(4.90188790972965 52.367552217957)","1011PG","Nationale Opera & Ballet","2024-05-01","2019-05-01","3855","Additionele horeca","Verleend","Theaterfoyer","2:00","7:00","1:00","7:00","3:00","7:00","1:00","7:00","","","","","SRID=4326;MULTIPOLYGON(((4.90052853583901 52.3678197436023,4.90052836005481 52.3678222024849,4.90052909066249 52.3678335362547,4.90053134588227 52.3678448005998,4.90053513133306 52.3678559120025,4.900540397692 52.3678667933004,4.90054711601568 52.3678773697769,4.90055524107879 52.3678875679978,4.90056472975 52.367897324495,4.90057552880476 52.3679065907799,4.90058877795824 52.3679170094901,4.90055304339053 52.3679340389472,4.9005675318001 52.3679454340032,4.90056864840835 52.3679463122082,4.90045439029254 52.3680007566225,4.90045434471345 52.3680007783409,4.90045365846116 52.3680001531374,4.90045153195824 52.3679981994145,4.90044705435927 52.3679940856297,4.90044257947136 52.3679899743365,4.9004406653893 52.3679882157732,4.90040091716735 52.367951334846,4.90033914868756 52.3678949472128,4.90034434088907 52.367892829679,4.90052868564218 52.3678176481423,4.90052853583901 52.3678197436023)))"
"2482","Wiltzanghlaan 69","SRID=4326;POINT(4.84249011194322 52.3815738898541)","1061HA","Ricardo's Soulfood","2024-03-01","2019-03-01","4382","Café","Verleend","Eetcafé","23:00","7:00","23:00","7:00","3:00","7:00","1:00","7:00","","","","",""
"2483","Vijzelstraat 15","SRID=4326;POINT(4.89347589529966 52.3664463884764)","1017HD","Pathé De Munt","2020-11-01","2015-11-01","4901","Additionele horeca","Verleend","Bioscoopfoyer","","","","","1:00","7:00","1:00","7:00","","","","",""
"2484","Danzigerkade 4","SRID=4326;POINT(4.87823583072264 52.396603666467)","1013AP","ZA Amsterdam","2021-09-01","2018-09-01","14716","Restaurant","Verleend","Restaurant","1:00","7:00","1:00","7:00","3:00","7:00","1:00","7:00","","","","",""
"2485","H.J.E. Wenckebachweg 48","SRID=4326;POINT(4.92512003303155 52.3371301643527)","1096AN","A Beautiful Mess Restaurant B.V.","2020-09-01","2017-02-17","14070","Restaurant","Verleend","Restaurant","1:00","7:00","0:00","7:00","3:00","7:00","1:00","7:00","","","","","SRID=4326;MULTIPOLYGON(((4.9241165480015 52.338599187866,4.92430823406935 52.3383904468768,4.9244491820888 52.3384390091015,4.92425778974441 52.3386474309509,4.9241165480015 52.338599187866)))"
"2486","De Clercqstraat 2-H","SRID=4326;POINT(4.87375389025713 52.3718630104636)","1052NC","Diyako / Pizza Parsa","2020-08-01","2017-08-01","13614","Restaurant","Verleend","Restaurant","","","","","3:00","7:00","1:00","7:00","","","","",""
"2487","Amstelveenseweg 154-H","SRID=4326;POINT(4.85561640903792 52.3536910261729)","1075XM","Dragon I Amsterdam","2020-10-01","2015-07-02","10777","Restaurant","Verleend","Restaurant","0:00","17:00","0:00","17:00","2:00","17:00","1:00","17:00","","","","","SRID=4326;MULTIPOLYGON(((4.85551741735118 52.3536545103335,4.85552695173437 52.3536398924787,4.85559401863097 52.3536565884971,4.85558803041234 52.353665769492,4.85551741735118 52.3536545103335)))"
"2488","Linnaeushof 46","SRID=4326;POINT(4.9354208099468 52.3521976076096)","1098KM","Sportchamps","","","1381","Additionele horeca","Nog niet bekend","Kantine","","","","","","","","","","","","",""
"2489","Piet Heinkade 181B","SRID=4326;POINT(4.92220264569077 52.376853291667)","1019HC","Zalen Pakhuis de Zwijger B.V.","2023-10-01","2018-10-01","7253","Zalenverhuur","Verleend","Zalenverhuur","","","","","3:00","7:00","1:00","7:00","","","","",""
