"ID";"Geslacht";"Migratieachtergrond";"Postcode";"Perioden";"Bevolking_1"
"2881";"T001038";"T001040";"PC1243  ";"2019JJ00";"    1310"
"2903";"T001038";"T001040";"PC1244  ";"2019JJ00";"    1530"
"2925";"T001038";"T001040";"PC1251  ";"2019JJ00";"   10830"
"2947";"T001038";"T001040";"PC1252  ";"2019JJ00";"     365"
"2969";"T001038";"T001040";"PC1261  ";"2019JJ00";"   10600"
"2991";"T001038";"T001040";"PC1262  ";"2019JJ00";"     600"
"3013";"T001038";"T001040";"PC1271  ";"2019JJ00";"    7930"
"3035";"T001038";"T001040";"PC1272  ";"2019JJ00";"    6275"
"3057";"T001038";"T001040";"PC1273  ";"2019JJ00";"    8790"
"3079";"T001038";"T001040";"PC1274  ";"2019JJ00";"    6620"
"3101";"T001038";"T001040";"PC1275  ";"2019JJ00";"    2045"
"3123";"T001038";"T001040";"PC1276  ";"2019JJ00";"    7485"
"3145";"T001038";"T001040";"PC1277  ";"2019JJ00";"    2130"
"3167";"T001038";"T001040";"PC1309  ";"2019JJ00";"      40"
"3189";"T001038";"T001040";"PC1311  ";"2019JJ00";"    4605"
"3211";"T001038";"T001040";"PC1312  ";"2019JJ00";"    7080"
"3233";"T001038";"T001040";"PC1313  ";"2019JJ00";"    4325"
"3255";"T001038";"T001040";"PC1314  ";"2019JJ00";"    5960"
"3277";"T001038";"T001040";"PC1315  ";"2019JJ00";"    4080"
"3299";"T001038";"T001040";"PC1316  ";"2019JJ00";"    4160"
"3321";"T001038";"T001040";"PC1317  ";"2019JJ00";"    4060"
"3343";"T001038";"T001040";"PC1318  ";"2019JJ00";"    9615"
"3365";"T001038";"T001040";"PC1319  ";"2019JJ00";"    6855"
"3387";"T001038";"T001040";"PC1321  ";"2019JJ00";"    9845"
"3409";"T001038";"T001040";"PC1322  ";"2019JJ00";""
"3431";"T001038";"T001040";"PC1323  ";"2019JJ00";"    6370"
"3453";"T001038";"T001040";"PC1324  ";"2019JJ00";"   10430"
"3475";"T001038";"T001040";"PC1325  ";"2019JJ00";"   10490"
"3497";"T001038";"T001040";"PC1326  ";"2019JJ00";"   11395"
"3519";"T001038";"T001040";"PC1327  ";"2019JJ00";""
"3541";"T001038";"T001040";"PC1328  ";"2019JJ00";"    9985"
"3563";"T001038";"T001040";"PC1329  ";"2019JJ00";""
"3585";"T001038";"T001040";"PC1331  ";"2019JJ00";"     210"
"3607";"T001038";"T001040";"PC1332  ";"2019JJ00";"      60"
"3629";"T001038";"T001040";"PC1333  ";"2019JJ00";"   12585"
"3651";"T001038";"T001040";"PC1334  ";"2019JJ00";"    1965"
"3673";"T001038";"T001040";"PC1335  ";"2019JJ00";"   12245"
"3695";"T001038";"T001040";"PC1336  ";"2019JJ00";"    8560"
"3717";"T001038";"T001040";"PC1338  ";"2019JJ00";"    9820"
"3739";"T001038";"T001040";"PC1339  ";"2019JJ00";"   11285"
"3761";"T001038";"T001040";"PC1341  ";"2019JJ00";"    1505"
"3783";"T001038";"T001040";"PC1343  ";"2019JJ00";"    1195"
"3805";"T001038";"T001040";"PC1349  ";"2019JJ00";"     870"
"3827";"T001038";"T001040";"PC1351  ";"2019JJ00";"    1975"
"3849";"T001038";"T001040";"PC1352  ";"2019JJ00";"    1670"
"3871";"T001038";"T001040";"PC1353  ";"2019JJ00";"    4645"
"3893";"T001038";"T001040";"PC1354  ";"2019JJ00";"    2965"
"3915";"T001038";"T001040";"PC1355  ";"2019JJ00";"    2915"
"3937";"T001038";"T001040";"PC1356  ";"2019JJ00";"    2725"
"3959";"T001038";"T001040";"PC1357  ";"2019JJ00";"    3495"
"3981";"T001038";"T001040";"PC1358  ";"2019JJ00";"     570"
"4003";"T001038";"T001040";"PC1359  ";"2019JJ00";"    1990"
"4025";"T001038";"T001040";"PC1361  ";"2019JJ00";"    1730"
"4047";"T001038";"T001040";"PC1362  ";"2019JJ00";"       0"
"4069";"T001038";"T001040";"PC1363  ";"2019JJ00";"   13630"
"4091";"T001038";"T001040";"PC1381  ";"2019JJ00";"    5015"
"4113";"T001038";"T001040";"PC1382  ";"2019JJ00";"   10165"
"4135";"T001038";"T001040";"PC1383  ";"2019JJ00";"    3590"
"4157";"T001038";"T001040";"PC1384  ";"2019JJ00";"     565"
"4179";"T001038";"T001040";"PC1391  ";"2019JJ00";"    7945"
"4201";"T001038";"T001040";"PC1393  ";"2019JJ00";"    1565"
"4223";"T001038";"T001040";"PC1394  ";"2019JJ00";"    5450"
"4245";"T001038";"T001040";"PC1396  ";"2019JJ00";"    1425"
"4267";"T001038";"T001040";"PC1398  ";"2019JJ00";"    3320"
"4289";"T001038";"T001040";"PC1399  ";"2019JJ00";"    3120"
"4311";"T001038";"T001040";"PC1401  ";"2019JJ00";"    4925"
"4333";"T001038";"T001040";"PC1402  ";"2019JJ00";"    9525"
"4355";"T001038";"T001040";"PC1403  ";"2019JJ00";"    9380"
"4377";"T001038";"T001040";"PC1404  ";"2019JJ00";"    3450"
"4399";"T001038";"T001040";"PC1405  ";"2019JJ00";"    2890"
"4421";"T001038";"T001040";"PC1406  ";"2019JJ00";"    3415"
"4443";"T001038";"T001040";"PC1411  ";"2019JJ00";"   10050"
"4465";"T001038";"T001040";"PC1412  ";"2019JJ00";"    7630"
"4487";"T001038";"T001040";"PC1421  ";"2019JJ00";"    6115"
"4509";"T001038";"T001040";"PC1422  ";"2019JJ00";"   13115"
"4531";"T001038";"T001040";"PC1423  ";"2019JJ00";"    5725"
"4553";"T001038";"T001040";"PC1424  ";"2019JJ00";"    4470"
"4575";"T001038";"T001040";"PC1426  ";"2019JJ00";"     875"
"4597";"T001038";"T001040";"PC1427  ";"2019JJ00";"    1005"
"4619";"T001038";"T001040";"PC1428  ";"2019JJ00";"     110"
"4641";"T001038";"T001040";"PC1431  ";"2019JJ00";"   12550"
"4663";"T001038";"T001040";"PC1432  ";"2019JJ00";"    9980"
"4685";"T001038";"T001040";"PC1433  ";"2019JJ00";"    9200"
"4707";"T001038";"T001040";"PC1435  ";"2019JJ00";"    4235"
"4729";"T001038";"T001040";"PC1436  ";"2019JJ00";"     495"
"4751";"T001038";"T001040";"PC1437  ";"2019JJ00";"      60"
"4773";"T001038";"T001040";"PC1438  ";"2019JJ00";"     170"
"4795";"T001038";"T001040";"PC1441  ";"2019JJ00";"   14155"
"4817";"T001038";"T001040";"PC1442  ";"2019JJ00";"    6865"
"4839";"T001038";"T001040";"PC1443  ";"2019JJ00";"    7255"
"4861";"T001038";"T001040";"PC1444  ";"2019JJ00";"    6720"
"4883";"T001038";"T001040";"PC1445  ";"2019JJ00";"    9145"
"4905";"T001038";"T001040";"PC1446  ";"2019JJ00";"    5070"
"4927";"T001038";"T001040";"PC1447  ";"2019JJ00";"   12545"
"4949";"T001038";"T001040";"PC1448  ";"2019JJ00";"   18360"
"4971";"T001038";"T001040";"PC1451  ";"2019JJ00";"     420"
"4993";"T001038";"T001040";"PC1452  ";"2019JJ00";"    1790"
"5015";"T001038";"T001040";"PC1454  ";"2019JJ00";"     500"
"5037";"T001038";"T001040";"PC1456  ";"2019JJ00";"    1845"
"5059";"T001038";"T001040";"PC1458  ";"2019JJ00";"     180"
"5081";"T001038";"T001040";"PC1461  ";"2019JJ00";"    3500"
"5103";"T001038";"T001040";"PC1462  ";"2019JJ00";"    4865"
"5125";"T001038";"T001040";"PC1463  ";"2019JJ00";"     605"
"5147";"T001038";"T001040";"PC1464  ";"2019JJ00";"     775"
"5169";"T001038";"T001040";"PC1471  ";"2019JJ00";"     740"
"5191";"T001038";"T001040";"PC1472  ";"2019JJ00";"     700"
"5213";"T001038";"T001040";"PC1473  ";"2019JJ00";"     810"
"5235";"T001038";"T001040";"PC1474  ";"2019JJ00";"    3320"
"5257";"T001038";"T001040";"PC1475  ";"2019JJ00";"     540"
"5279";"T001038";"T001040";"PC1476  ";"2019JJ00";"     110"
"5301";"T001038";"T001040";"PC1477  ";"2019JJ00";"     180"
"5323";"T001038";"T001040";"PC1481  ";"2019JJ00";"     110"
"5345";"T001038";"T001040";"PC1482  ";"2019JJ00";"     165"
"5367";"T001038";"T001040";"PC1483  ";"2019JJ00";"    3990"
"5389";"T001038";"T001040";"PC1484  ";"2019JJ00";"     895"
"5411";"T001038";"T001040";"PC1485  ";"2019JJ00";"      85"
"5433";"T001038";"T001040";"PC1486  ";"2019JJ00";"     775"
"5455";"T001038";"T001040";"PC1487  ";"2019JJ00";"     145"
"5477";"T001038";"T001040";"PC1488  ";"2019JJ00";"     220"
"5499";"T001038";"T001040";"PC1489  ";"2019JJ00";"     165"
"5521";"T001038";"T001040";"PC1501  ";"2019JJ00";"    6465"
"5543";"T001038";"T001040";"PC1502  ";"2019JJ00";"    8525"
"5565";"T001038";"T001040";"PC1503  ";"2019JJ00";"   11250"
"5587";"T001038";"T001040";"PC1504  ";"2019JJ00";"    8445"
"5609";"T001038";"T001040";"PC1505  ";"2019JJ00";"    6540"
"5631";"T001038";"T001040";"PC1506  ";"2019JJ00";"   12950"
"5653";"T001038";"T001040";"PC1507  ";"2019JJ00";"   12865"
"5675";"T001038";"T001040";"PC1508  ";"2019JJ00";"    4705"
"5697";"T001038";"T001040";"PC1509  ";"2019JJ00";"    6540"
"5719";"T001038";"T001040";"PC1511  ";"2019JJ00";"    9755"
"5741";"T001038";"T001040";"PC1521  ";"2019JJ00";"   11230"
"5763";"T001038";"T001040";"PC1525  ";"2019JJ00";"     585"
"5785";"T001038";"T001040";"PC1531  ";"2019JJ00";"   13085"
"5807";"T001038";"T001040";"PC1534  ";"2019JJ00";"     510"
"5829";"T001038";"T001040";"PC1536  ";"2019JJ00";"     325"
"5851";"T001038";"T001040";"PC1541  ";"2019JJ00";"   11260"
"5873";"T001038";"T001040";"PC1544  ";"2019JJ00";"    8710"
"5895";"T001038";"T001040";"PC1546  ";"2019JJ00";"     710"
"5917";"T001038";"T001040";"PC1551  ";"2019JJ00";"    4680"
"5939";"T001038";"T001040";"PC1561  ";"2019JJ00";"    7985"
"5961";"T001038";"T001040";"PC1562  ";"2019JJ00";"    9210"
"5983";"T001038";"T001040";"PC1566  ";"2019JJ00";"   13095"
"6005";"T001038";"T001040";"PC1567  ";"2019JJ00";"   10830"
"6027";"T001038";"T001040";"PC1601  ";"2019JJ00";"    7400"
"6049";"T001038";"T001040";"PC1602  ";"2019JJ00";"   11105"
"6071";"T001038";"T001040";"PC1606  ";"2019JJ00";"    4320"
"6093";"T001038";"T001040";"PC1607  ";"2019JJ00";"    1500"
